TOTEMPLOYEE,TOTVOLUNTEERS,TOTALREVPRIOR,TOTALREVCURRENT,SALARIESCURRENT
,,,126709,45272
1,100,149769,206450,31424
,,,102917,0
,,,79534,0
,,,40098,0
,,,0,0
,,,62769,0
0,,10329,6580,0
12,25,292474,308523,103010
,,,27961,0
,,,180340,92438
,,,119750,0
,,,107923,0
,,,24191,0
0,20,118767,106985,0
0,12,526875,385199,0
0,60,483671,484675,0
0,,289118,369324,50000
0,25,850369,1503671,0
,,,32677,0
,,,126214,89880
,,,64601,0
,,,56886,0
,,,60642,0
,,,10391,0
,,,198308,0
,,,6047,0
,,,94971,0
,,,10340,4100
,,,20763,13635
0,4,160501,174019,0
4,150,170492,214659,96686
11,,402671,468609,153136
0,0,283972,359913,0
5,0,4462893,4468600,563580
0,2,9592,22599,10400
,,,121497,0
,,,5000,0
,,,52474,0
,,,63695,0
0,,109219,136869,0
41,,1460277,1400873,838899
0,120,1268325,1264543,0
,,,40947,0
,,,31869,0
,,,38148,11379
,,,1,0
0,,2771,20381,0
4,50,182228,330886,230077
0,2,789698,714482,0
0,50,57392,51262,0
0,,674802,135650,0
,,,16286,0
,,,39265,0
18,40,798504,884992,519816
0,,45967,108920,0
0,,0,0,0
0,50,1519588,1329762,78000
0,12,765709,791578,186233
1,,24544,26512,16671
0,,0,1760,0
0,,90218,42663,0
0,50,78823,97255,0
0,,107605,107432,0
27,200,2500324,2839240,987297
10,76,2091605,2120711,592942
,,,4691,0
,,,143327,20000
6,218,752273,943362,132388
12,175,382373,347320,223804
0,0,55181,43208,0
34,150,2471670,1217905,895812
,,,7359,0
,,,62288,28850
19,172,742884,1137156,480447
1,19,62618,69561,42627
0,,513894,751432,53017
,,,197653,140026
,,,0,0
,,,144813,0
10,,262318,272783,130873
,,,70556,0
0,,98943,99245,0
0,15,250393,264480,0
0,35,694406,732533,220440
0,,0,571540,0
1,40,222248,340312,34116
,,,44824,0
,,,104791,72309
1,20,116220,89901,11436
,,,20375,0
,,,37905,24866
0,64,99393,112030,65143
103,146,5495107,5391998,2378240
,,,102749,0
,,,145596,12000
0,25,2051,44591,0
0,15,57352,42692,0
,,,127309,42030
,,,0,0
0,,0,146199,129162
,,,181421,160908
17,650,719969,624522,397380
0,100,214733,178680,0
0,,102389,137325,0
,,,67955,0
7,1098,725159,608684,177588
0,377,227576,204443,0
0,7,394170,1089978,0
,,,108324,0
88,18,1121412,1710318,1059799
,,,131969,92700
,,,101843,63295
,,,40931,0
,,,126265,57248
2,3,614292,648162,0
,,,55603,0
0,,18336,20547,0
,,,15976,0
,,,60305,20190
0,7,612001,298827,0
0,59,339789,398271,0
,,,184358,113322
,,,76170,0
,,,49267,25177
0,30,108413,122865,0
19,210,243517,282239,202092
,,,63449,0
,,,147111,0
,,,169884,0
16,1,847694,365861,394277
3,,495097,252193,80135
61,935,676911,1094787,325463
,,,126896,0
,,,28944,0
12,,1360173,2452849,242569
,,,0,0
,,,95047,14799
,,,4909,0
,,,28732,0
,,,82449,0
16,180,324252,298391,180912
0,0,0,236466,0
,,,136176,61285
,,,17150,0
,,,139601,0
,,,58394,0
,,,25629,0
,,,27177,0
,,,0,0
,,,4539,0
,,,87591,0
,,,60444,0
,,,73391,35482
,,,196699,121301
58,,647385,627113,388439
,,,0,0
3,12,261558,260090,63737
0,35,203142,203142,0
0,5,174056,201687,21000
0,,75421,54951,0
0,,0,10250,0
,,,45121,0
0,20,231317,301676,0
46,216,1993637,1276258,954973
3,23,195486,182901,73132
,,,189252,0
,,,83512,0
,,,0,0
,,,89844,0
0,3,513504,448974,0
,,,5107,0
,,,32110,0
24,,472434,439516,304120
40,8408,3817859,4308444,897370
0,24,122557,81818,0
19,40,1251494,1021512,707198
,,,160823,0
0,40,87250,110450,10351
,,,116250,51678
,,,170788,71846
0,,180488,183464,0
,,,94880,35169
0,,292846,12609,0
,,,106863,0
,,,44431,0
,,,13503,0
0,35,272185,274259,0
0,0,48321,610516,0
2,75,238020,152633,12677
0,7,73099,104420,0
,,,20584,0
,,,133291,137963
1,50,134792,102205,15135
0,,72064,107703,0
2,60,0,189488,18646
,,,125527,0
4,27,250831,257372,199800
0,,427706,57586,0
8,,296317,279645,199709
,,,83378,0
5,8,1283043,1259465,192215
,,,9958,0
12,25,383437,331578,152018
0,0,381373,428172,0
10,28,334474,338620,233175
4,0,53503,50380,8351
5,,207798,203136,110744
1,70,241248,245262,43060
8,5,604392,170034,128596
0,,20000,20000,0
10,,1413573,817163,361465
0,9,120607,154387,0
0,0,4708545,5684691,1669145
5,70,254916,117847,55345
,,,57915,0
,,,71000,0
11,39,1106982,1140220,646571
